UserID,Age,Gender,Location,Item Name,Brand,Price,Rating,Number of Reviews,Purchase History,Search History,Wishlist,Cart Items,Click History,Transaction No.,Transaction Date
User14,40,Female,Russia,Watch,Henry-Johnson,205.9,2.8,624,True,False,False,False,False,1,2023-07-08 00:00:00
User8,50,Male,Russia,T-Shirt,Lawson-Tucker,132.02,3.1,794,False,False,False,True,True,2,2023-03-14 00:00:00
User2,59,Male,India,Headphones,Gomez LLC,384.34,1.4,619,False,False,False,False,False,3,2022-10-17 00:00:00
User6,48,Female,Argentina,T-Shirt,Morris-Miller,341.77,3.0,336,True,True,True,False,True,4,2022-04-02 00:00:00
User5,49,Female,Singapore,Bag,Waters-Hall,309.58,3.6,973,True,True,True,False,False,5,2022-01-29 00:00:00
User2,53,Female,USA,T-Shirt,Thompson-Carlson,457.28,2.2,283,True,True,True,True,True,6,2023-04-03 00:00:00
User16,41,Female,Argentina,Shoes,Palmer-Boyle,263.21,3.4,973,False,True,True,False,True,7,2022-06-24 00:00:00
User1,39,Female,Japan,Bag,Bennett-Scott,269.57,3.4,792,True,True,False,False,True,8,2022-06-16 00:00:00
User20,18,Female,Greece,Jeans,Anderson PLC,395.06,1.8,493,True,False,False,True,False,9,2023-03-07 00:00:00
User6,43,Male,Singapore,T-Shirt,Hinton-Jones,150.47,3.3,16,False,False,True,False,False,10,2022-09-03 00:00:00
User14,44,Female,Japan,T-Shirt,"Ramirez, Davis and Blevins",469.32,3.8,744,True,True,True,True,False,11,2022-12-30 00:00:00
User19,19,Female,Australia,Watch,"Hernandez, Fowler and Young",41.89,4.2,585,False,False,False,False,False,12,2023-04-27 00:00:00
User13,19,Male,Australia,Watch,Kline Inc,246.66,2.4,465,True,False,False,True,False,13,2022-03-10 00:00:00
User12,38,Female,France,Laptop,Russell-Thompson,161.78,3.4,744,False,True,False,True,False,14,2023-05-26 00:00:00
User18,54,Male,Belgium,Laptop,Thompson Group,23.62,3.2,24,True,False,True,False,True,15,2022-04-29 00:00:00
User18,22,Female,India,Sunglasses,"Fuentes, Craig and Watts",115.55,2.8,494,False,True,False,True,True,16,2022-07-09 00:00:00
User14,31,Female,Argentina,Sunglasses,Wilson-Booker,435.44,1.9,345,False,False,False,False,True,17,2023-11-06 00:00:00
User3,28,Female,Russia,Perfume,"Lucas, Mullen and Weber",484.88,2.5,349,True,True,True,False,True,18,2022-12-23 00:00:00
User4,25,Female,France,Sunglasses,Parks-Hopkins,204.62,2.6,71,False,True,False,False,False,19,2022-04-09 00:00:00
User10,19,Male,Italy,T-Shirt,Barnett-Jones,131.99,4.1,663,True,True,False,True,True,20,2022-05-10 00:00:00
User13,24,Female,UK,Watch,"Kelley, White and King",370.02,1.4,961,True,True,True,True,True,21,2023-10-11 00:00:00
User14,40,Female,UK,Shoes,"Thomas, Herrera and Ramirez",218.4,1.3,110,False,True,False,True,True,22,2022-11-15 00:00:00
User13,29,Female,UAE,Jeans,Hunter PLC,155.73,3.5,458,True,False,False,True,True,23,2023-04-10 00:00:00
User5,56,Female,Singapore,Laptop,Cohen Group,119.2,4.0,79,True,True,False,False,True,24,2022-01-16 00:00:00
User17,18,Male,Greece,T-Shirt,"Johnson, Shelton and Wiley",311.55,3.5,788,True,True,False,False,True,25,2022-05-10 00:00:00
User18,29,Male,Spain,Laptop,Saunders-Cline,84.58,3.5,70,True,False,True,True,True,26,2022-02-07 00:00:00
User19,24,Male,India,Watch,"Gutierrez, Larson and Benson",267.38,4.8,246,False,True,False,True,True,27,2022-09-27 00:00:00
User10,56,Male,Greece,Shoes,"Johnson, Jones and Smith",92.37,2.6,12,True,False,False,True,False,28,2023-07-21 00:00:00
User16,54,Male,Australia,Bag,"Cordova, Berg and Ramirez",377.58,1.4,976,True,True,True,True,False,29,2023-08-22 00:00:00
User19,20,Female,Greece,Watch,Adams-Hill,427.57,4.2,722,False,True,True,True,False,30,2023-11-26 00:00:00
User9,60,Female,New Zealand,Laptop,"Moore, Roberts and Zavala",26.24,4.7,460,True,False,True,True,False,31,2023-03-29 00:00:00
User8,53,Male,France,Laptop,"Jones, Graham and Thompson",232.92,2.4,197,False,True,True,True,True,32,2023-12-10 00:00:00
User15,33,Male,Spain,Jeans,Le Group,257.38,4.2,53,False,False,True,True,False,33,2022-08-25 00:00:00
User4,47,Female,Australia,Smartphone,"Bryant, Hawkins and Weiss",47.62,4.3,380,True,False,True,False,True,34,2023-05-18 00:00:00
User15,35,Male,Spain,Laptop,Kane Ltd,228.8,4.4,327,True,False,False,False,False,35,2022-06-25 00:00:00
User3,44,Male,Belgium,Headphones,"Vaughn, Eaton and Wood",16.82,3.0,700,False,False,False,False,False,36,2022-04-30 00:00:00
User16,50,Male,UK,Shoes,Davis LLC,396.11,1.3,808,True,True,True,False,False,37,2022-10-03 00:00:00
User12,56,Female,Singapore,Perfume,Tucker LLC,113.73,4.2,299,True,True,True,False,False,38,2022-07-21 00:00:00
User20,40,Male,USA,Sunglasses,Hood PLC,354.9,2.2,945,True,False,False,False,False,39,2022-07-20 00:00:00
User7,33,Female,Japan,Perfume,"Hines, Murphy and Reynolds",347.95,3.3,125,True,False,False,True,False,40,2023-02-15 00:00:00
User15,52,Male,Australia,Perfume,Vasquez-James,298.9,4.3,390,True,False,False,False,True,41,2022-06-13 00:00:00
User2,54,Male,UAE,Sunglasses,"Barnes, Thompson and Sanders",65.8,1.4,119,True,True,True,False,True,42,2022-03-03 00:00:00
User6,52,Female,Russia,Watch,Hernandez and Sons,192.44,4.5,377,True,True,False,True,False,43,2023-02-06 00:00:00
User14,58,Female,Japan,Bag,"Clarke, Valencia and Robles",335.27,2.8,233,True,False,True,True,False,44,2022-11-05 00:00:00
User19,60,Female,Belgium,Headphones,"Clay, Richards and Freeman",427.55,1.1,453,True,True,False,False,False,45,2023-09-13 00:00:00
User18,60,Male,Brazil,T-Shirt,West PLC,468.8,4.8,946,True,True,True,False,False,46,2023-11-17 00:00:00
User7,37,Female,UAE,Shoes,"Perry, Johnson and Williams",203.46,3.3,470,True,True,False,True,True,47,2023-07-21 00:00:00
User12,25,Male,New Zealand,Smartphone,Williams-Anderson,367.0,3.1,673,True,False,True,False,False,48,2023-11-07 00:00:00
User1,39,Male,Switzerland,Laptop,Chen-Terry,369.52,4.7,138,False,False,True,True,True,49,2023-08-05 00:00:00
User9,44,Female,Italy,Bag,"Hickman, Adams and Pena",101.05,2.8,561,True,False,False,True,False,50,2022-12-15 00:00:00
User3,29,Male,Switzerland,Smartphone,Williams Ltd,73.39,4.5,996,True,True,False,True,True,51,2022-12-24 00:00:00
User20,60,Male,Italy,Perfume,Townsend Ltd,107.34,4.5,507,False,False,True,False,True,52,2022-02-05 00:00:00
User17,60,Male,Russia,Headphones,Williams Group,28.52,2.0,117,False,True,True,False,False,53,2022-10-26 00:00:00
User16,39,Male,New Zealand,Perfume,Hall-Summers,87.14,2.4,559,True,False,False,False,True,54,2023-10-04 00:00:00
User18,58,Male,Italy,Shoes,"Bell, Moore and Fisher",60.67,1.7,684,False,False,False,True,False,55,2023-07-19 00:00:00
User7,46,Male,Australia,Perfume,Christensen-Wolfe,244.17,2.8,338,False,False,True,False,True,56,2023-06-16 00:00:00
User1,37,Male,Argentina,Laptop,Hill Ltd,430.75,4.7,246,True,False,True,True,True,57,2022-05-06 00:00:00
User13,61,Male,USA,Perfume,Wood-Casey,289.81,4.7,990,True,False,True,False,False,58,2022-04-27 00:00:00
User14,22,Female,France,T-Shirt,"Burns, Fox and Taylor",364.32,2.2,205,True,False,True,False,True,59,2022-04-21 00:00:00
User5,23,Male,Brazil,Jeans,Dunlap-Hunt,215.82,1.9,879,False,False,True,False,True,60,2022-11-04 00:00:00
User6,40,Female,Singapore,Perfume,"Thomas, Weeks and Mcdaniel",440.21,3.3,572,False,True,False,True,False,61,2023-11-07 00:00:00
User15,38,Female,New Zealand,Jeans,"Mcdonald, Gomez and Austin",418.91,4.4,358,True,False,False,True,False,62,2022-07-09 00:00:00
User3,35,Male,Argentina,T-Shirt,Reynolds-Castillo,473.87,3.1,87,False,False,False,False,True,63,2022-05-30 00:00:00
User13,47,Male,Greece,T-Shirt,Smith Group,353.83,4.4,367,True,True,True,False,True,64,2023-09-11 00:00:00
User13,21,Female,New Zealand,Perfume,Sanders-Martinez,40.1,2.7,352,True,True,False,True,False,65,2023-08-25 00:00:00
User2,24,Male,India,Sunglasses,Wagner Inc,258.29,2.2,602,False,True,False,False,False,66,2023-11-20 00:00:00
User15,41,Female,India,Laptop,Nelson-Phillips,339.21,2.2,248,True,False,False,True,False,67,2023-02-04 00:00:00
User13,59,Female,UAE,Jeans,Dalton PLC,177.48,3.7,531,True,False,True,False,True,68,2022-06-07 00:00:00
User8,59,Female,UK,Sunglasses,Harris and Sons,103.0,3.1,245,False,True,True,False,False,69,2023-07-19 00:00:00
User10,28,Male,Japan,T-Shirt,Valenzuela-Velazquez,181.22,3.1,577,True,True,False,True,True,70,2023-02-19 00:00:00
User11,62,Male,UK,Jeans,Smith-Sullivan,45.88,1.4,578,True,False,True,False,False,71,2022-08-20 00:00:00
User1,29,Male,Brazil,Smartphone,Cunningham-Hall,157.28,2.1,835,False,True,True,True,True,72,2023-01-12 00:00:00
User8,34,Male,Greece,Bag,Gibson Inc,202.14,4.9,997,False,True,False,True,False,73,2022-02-07 00:00:00
User2,61,Female,Australia,T-Shirt,"Mitchell, Vargas and Ibarra",27.73,3.7,547,False,True,False,True,False,74,2022-07-04 00:00:00
User20,65,Female,USA,Laptop,Wiley LLC,66.36,2.7,231,True,False,True,False,True,75,2022-10-03 00:00:00
User8,34,Female,Switzerland,T-Shirt,"Parks, Armstrong and Lopez",304.17,3.6,618,True,False,False,True,True,76,2022-12-03 00:00:00
User8,59,Male,Belgium,Shoes,Hernandez-Gonzalez,17.27,3.3,661,True,True,False,False,False,77,2022-08-09 00:00:00
User5,58,Female,France,Shoes,Williams-Green,102.7,2.2,96,False,False,True,False,True,78,2022-02-03 00:00:00
User19,30,Male,Singapore,Perfume,"Hawkins, Leach and Hernandez",85.94,1.7,164,False,True,True,False,True,79,2022-10-10 00:00:00
User3,50,Male,Greece,T-Shirt,Harris Group,206.89,1.1,844,True,True,False,False,True,80,2022-10-26 00:00:00
User15,29,Female,Argentina,Bag,"Gutierrez, Smith and Watts",195.43,4.6,70,False,False,True,False,True,81,2023-11-15 00:00:00
User19,45,Female,Russia,Bag,"Peterson, Cordova and Snyder",140.92,1.9,821,False,True,True,False,True,82,2022-10-28 00:00:00
User20,47,Female,Brazil,Perfume,Lawson-Kennedy,230.23,4.8,512,False,True,True,True,True,83,2022-02-27 00:00:00
User7,45,Male,UAE,Smartphone,Small-Sanders,155.83,3.3,894,False,False,True,True,True,84,2023-03-28 00:00:00
User2,51,Male,New Zealand,Jeans,Hoffman and Sons,159.76,2.8,718,True,True,False,True,True,85,2023-03-17 00:00:00
User12,34,Female,Australia,Perfume,"Smith, Mayer and Myers",425.69,1.7,44,False,True,False,True,False,86,2022-01-20 00:00:00
User20,41,Female,Greece,Laptop,"Acosta, Shelton and Russell",430.37,4.8,20,False,True,True,False,True,87,2022-09-22 00:00:00
User16,18,Male,India,Headphones,Hawkins LLC,119.04,4.2,698,True,False,True,True,True,88,2022-01-16 00:00:00
User13,27,Female,Switzerland,Sunglasses,"Obrien, Butler and Cowan",418.34,3.2,451,False,True,True,True,True,89,2022-10-28 00:00:00
User8,18,Female,Greece,Bag,Mcintyre Ltd,240.23,1.7,50,True,False,True,False,True,90,2022-07-28 00:00:00
User16,63,Female,Brazil,Watch,Brown and Sons,134.05,3.5,474,True,False,False,True,True,91,2023-11-28 00:00:00
User12,47,Male,Russia,Shoes,"Richardson, Smith and Smith",468.62,2.3,162,False,False,False,False,True,92,2022-05-08 00:00:00
